Product Name,Product Price,Product Image
Relaxed Fit Hoodie,2999.00,https://eg.hm.com/assets/styles/HNM/17199485/8deb77bd7838d1b6436bb04470b9d749ee148213/1/image-thumb__5280967__product_listing/8deb77bd7838d1b6436bb04470b9d749ee148213.jpg
Relaxed Fit Appliquéd sweatshirt,1099.00,https://eg.hm.com/assets/styles/HNM/17381200/b1acb37590b24c9b0740633bab86ef85e7ae5c88/1/image-thumb__5463738__product_listing/b1acb37590b24c9b0740633bab86ef85e7ae5c88.jpg
Hooded top,2199.00,https://eg.hm.com/assets/styles/HNM/17063163/c0d710c511249773cce85aac0917e2ac0b43950a/1/image-thumb__5140508__product_listing/c0d710c511249773cce85aac0917e2ac0b43950a.jpg
Loose Fit Hoodie,1499.00,https://eg.hm.com/assets/styles/HNM/17067346/69b4864099bcad80393f6ec40f42c1e8656f1308/1/image-thumb__5145966__product_listing/69b4864099bcad80393f6ec40f42c1e8656f1308.jpg
Oversized Fit hoodie,1999.00,https://eg.hm.com/assets/styles/HNM/17130365/d0106fc25f4ffa01217622ac15bf5332852f5d9f/1/image-thumb__5206841__product_listing/d0106fc25f4ffa01217622ac15bf5332852f5d9f.jpg
Regular Fit Printed hoodie,1499.00,https://eg.hm.com/assets/styles/HNM/17182829/787bb856ddc4ab8f6a436bb78a2ffb54a8e274c7/1/image-thumb__5257537__product_listing/787bb856ddc4ab8f6a436bb78a2ffb54a8e274c7.jpg
Oversized Fit Printed hoodie,2999.00,https://eg.hm.com/assets/styles/HNM/17137149/093e81298601d8564364127e546028adfd4e0312/1/image-thumb__5212958__product_listing/093e81298601d8564364127e546028adfd4e0312.jpg
Relaxed Fit Hoodie,1999.00,https://eg.hm.com/assets/styles/HNM/16937406/5d8fd0b89f9f0fe71af936d9ca687b53b3bc410e/1/image-thumb__5018784__product_listing/5d8fd0b89f9f0fe71af936d9ca687b53b3bc410e.jpg
Regular Fit Ribbed sweatshirt,1699.00,https://eg.hm.com/assets/styles/HNM/16924264/d6bb557e939003c5e108b55e9cb7e2ec294766c8/1/image-thumb__4999764__product_listing/d6bb557e939003c5e108b55e9cb7e2ec294766c8.jpg
Relaxed Fit Hoodie,1199.00,https://eg.hm.com/assets/styles/HNM/17060229/5827ae299559838835632e2821aa0de372040a31/1/image-thumb__5133610__product_listing/5827ae299559838835632e2821aa0de372040a31.jpg
Relaxed Fit Hoodie,1199.00,https://eg.hm.com/assets/styles/HNM/16961477/ef08fa4ef0372444394af47a8d12058e32160770/1/image-thumb__5030022__product_listing/ef08fa4ef0372444394af47a8d12058e32160770.jpg
Hooded top,1199.00,https://eg.hm.com/assets/styles/HNM/17027816/c1d273d1a2ab56e0dbef591b5bc6ba2cc678726a/1/image-thumb__5095983__product_listing/c1d273d1a2ab56e0dbef591b5bc6ba2cc678726a.jpg
Relaxed Fit Sweatshirt,899.00,https://eg.hm.com/assets/styles/HNM/17165806/b97ef3177073b14d14c914bbc40f4469c9ace1bb/1/image-thumb__5229484__product_listing/b97ef3177073b14d14c914bbc40f4469c9ace1bb.jpg
Regular Fit Cotton hoodie,1999.00,https://eg.hm.com/assets/styles/HNM/15214377/ac416218726238c437079579313f31942efd7d92/1/image-thumb__4398137__product_listing/ac416218726238c437079579313f31942efd7d92.jpg
Oversized Fit Zip-through hoodie,1199.00,https://eg.hm.com/assets/styles/HNM/17206893/56651552599fea5272291d05c57f5e349a9c1a1f/1/image-thumb__5287859__product_listing/56651552599fea5272291d05c57f5e349a9c1a1f.jpg
Relaxed Fit Hoodie,799.00,https://eg.hm.com/assets/styles/HNM/17321372/1fe47cdcb587ae39b50cb8f948f2dc2201ab9250/1/image-thumb__5409212__product_listing/1fe47cdcb587ae39b50cb8f948f2dc2201ab9250.jpg
Hooded top,2199.00,https://eg.hm.com/assets/styles/HNM/17185685/a43be1bfa69046ed1171a4f69b22e1a96828bc1c/1/image-thumb__5261136__product_listing/a43be1bfa69046ed1171a4f69b22e1a96828bc1c.jpg
Hooded top,2499.00,https://eg.hm.com/assets/styles/HNM/17130225/2eb33503e427d4b8b81131201bb3cead7925d6bd/1/image-thumb__5206730__product_listing/2eb33503e427d4b8b81131201bb3cead7925d6bd.jpg
Hooded top,1699.00,https://eg.hm.com/assets/styles/HNM/17130229/6585b5bac4de1cc7bcb436b14d48876f2c0caf51/1/image-thumb__5206803__product_listing/6585b5bac4de1cc7bcb436b14d48876f2c0caf51.jpg
Regular Fit Hoodie,1499.00,https://eg.hm.com/assets/styles/HNM/17130275/55a5a8049dd6ba2b5246402e85e819c768d70422/1/image-thumb__5205069__product_listing/55a5a8049dd6ba2b5246402e85e819c768d70422.jpg
DryMove™ Sports hoodie,1999.00,https://eg.hm.com/assets/styles/HNM/16911006/114c6ca1ba093498c49ae95e857576b33cac769c/1/image-thumb__4990995__product_listing/114c6ca1ba093498c49ae95e857576b33cac769c.jpg
DryMove™ Sports hoodie,1999.00,https://eg.hm.com/assets/styles/HNM/16465151/8d27428c4f0906857509db104df42e8e88c83082/1/image-thumb__4794232__product_listing/8d27428c4f0906857509db104df42e8e88c83082.jpg
Oversized Fit Zip-through hoodie,2199.00,https://eg.hm.com/assets/styles/HNM/17165909/7af1cbd69b16e113b075f614b3b169bee75b5f89/1/image-thumb__5230019__product_listing/7af1cbd69b16e113b075f614b3b169bee75b5f89.jpg
Relaxed Fit Sweatshirt,1199.00,https://eg.hm.com/assets/styles/HNM/17130391/6428de20b2118ad29a81c0eb305781a2cd10e914/1/image-thumb__5207258__product_listing/6428de20b2118ad29a81c0eb305781a2cd10e914.jpg
Oversized Fit hoodie,1999.00,https://eg.hm.com/assets/styles/HNM/17130355/f72164247409e3abd076c087a696276f677d0214/1/image-thumb__5206640__product_listing/f72164247409e3abd076c087a696276f677d0214.jpg
Relaxed Fit Printed polo shirt,1199.00,https://eg.hm.com/assets/styles/HNM/17130422/e72aa94441944ad7bfebe1a9889582cb18f60720/1/image-thumb__5207752__product_listing/e72aa94441944ad7bfebe1a9889582cb18f60720.jpg
DryMove™ Zip-through sports hoodie,2499.00,https://eg.hm.com/assets/styles/HNM/17036160/2f39c6a378337c0e9f3c45c432e5d4fb0f369a9f/1/image-thumb__5105621__product_listing/2f39c6a378337c0e9f3c45c432e5d4fb0f369a9f.jpg
Regular Fit Cotton hoodie,1999.00,https://eg.hm.com/assets/styles/HNM/16761415/3b62b7b1da06de7bef4612881ab218b7406f7f49/1/image-thumb__4943959__product_listing/3b62b7b1da06de7bef4612881ab218b7406f7f49.jpg
Pocket-detail fleece sweatshirt,1599.00,https://eg.hm.com/assets/styles/HNM/15242520/3656a2ca2754c68d44a2abff7711153d11f6926e/1/image-thumb__4421858__product_listing/3656a2ca2754c68d44a2abff7711153d11f6926e.jpg
Relaxed Fit Hoodie,1499.00,https://eg.hm.com/assets/styles/HNM/16739342/08f8cae81014f85ab655e1b4926a63ffdb71a81d/1/image-thumb__4921658__product_listing/08f8cae81014f85ab655e1b4926a63ffdb71a81d.jpg
Regular Fit Cotton rugby shirt,799.00,https://eg.hm.com/assets/styles/HNM/16739982/ea47f3ec8b6f786336a6199c2111df5052c0bffc/1/image-thumb__4923739__product_listing/ea47f3ec8b6f786336a6199c2111df5052c0bffc.jpg
Relaxed Fit Sweatshirt,899.00,https://eg.hm.com/assets/styles/HNM/16760072/76d55bb523688a3fd3a5942170d25fd5c717db2a/1/image-thumb__4940525__product_listing/76d55bb523688a3fd3a5942170d25fd5c717db2a.jpg
THERMOLITE® Relaxed Fit Zip-through hoodie,2199.00,https://eg.hm.com/assets/styles/HNM/17312162/721cf3e21e97420d76bd86207be66332923ec15e/1/image-thumb__5371702__product_listing/721cf3e21e97420d76bd86207be66332923ec15e.jpg
Relaxed Fit Sweatshirt,799.00,https://eg.hm.com/assets/styles/HNM/16968389/f36fc16692b1f7c8e9180ac6cdc1c5109f44b8ba/1/image-thumb__5034724__product_listing/f36fc16692b1f7c8e9180ac6cdc1c5109f44b8ba.jpg
Relaxed Fit Zip-through hoodie,1499.00,https://eg.hm.com/assets/styles/HNM/16736608/17d092ee8a0890b0111eb3223348746c1bc84d4e/1/image-thumb__4900907__product_listing/17d092ee8a0890b0111eb3223348746c1bc84d4e.jpg
Relaxed Fit Hoodie,999.00,https://eg.hm.com/assets/styles/HNM/15234416/ec67213eee7b39e94de5260de4a675de8772e388/1/image-thumb__4403250__product_listing/ec67213eee7b39e94de5260de4a675de8772e388.jpg
